单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"
ask	 ""	 "asking"	 "asked"

mistake	 "mistakes"	 "mistaking"	 "mistook"

might	 ""	 ""	 ""

our	 ""	 ""	 ""

lives	 ""	 ""	 ""

say	 ""	 "saying"	 "said"

maybe	 ""	 ""	 ""

poor	 ""	 ""	 ""

understand	 ""	 "understanding"	 "understood"

playing	 ""	 ""	 ""

leagues	 ""	 ""	 ""

age	 "ages"	 "aging"	 ""

square	 "squares"	 "squaring"	 "squared"

rigged	 ""	 ""	 ""

ship	 "ships"	 "shipping"	 "shipped"

Africa	 ""	 ""	 ""

lions	 ""	 ""	 ""

beaches	 ""	 ""	 ""

talk	 ""	 "talking"	 "talked"

john	 ""	 ""	 ""

McGraw	 ""	 ""	 ""

jota	 ""	 ""	 ""

manager	 "managers"	 ""	 ""

new	 ""	 ""	 ""

york	 ""	 ""	 ""

giants	 ""	 ""	 ""

early	 ""	 ""	 ""

1900	 null	 null	 null

sometimes	 ""	 ""	 ""

rough	 ""	 "roughing"	 "roughed"

difficult	 ""	 ""	 ""

drinking	 ""	 ""	 ""

mind	 "minds"	 "minding"	 "minded"

horses	 ""	 ""	 ""

least	 ""	 ""	 ""

frequently	 ""	 ""	 ""

names	 ""	 ""	 ""

telephone	 "telephones"	 "telephoning"	 "telephoned"

thinks	 ""	 ""	 ""

greatest	 ""	 ""	 ""

most	 ""	 ""	 ""

Durocher	 ""	 ""	 ""

continued	 ""	 ""	 ""

year	 "years"	 ""	 ""

mike	 "mikes"	 "miking"	 "miked"

Adolfo	 ""	 ""	 ""

born	 ""	 ""	 ""

played	 ""	 ""	 ""

Gonzalez	 ""	 ""	 ""

st	 ""	 ""	 ""

Louis	 null	 null	 null

cardinals	 ""	 ""	 ""

equal	 "equals"	 "equalling"	 "equalled"

que	 null	 null	 null

va	 ""	 ""	 ""

Spanish	 "Spanishes"	 ""	 ""

exclamation	 "exclamations"	 ""	 ""

happy	 ""	 ""	 ""

prove	 ""	 "proving"	 "proved"

wrong	 "wrongs"	 "wronging"	 "wronged"

resolution	 "resolutions"	 ""	 ""

ought	 ""	 ""	 ""

things	 ""	 ""	 ""

night	 "nights"	 ""	 ""

alarm	 "alarms"	 "alarming"	 "alarmed"

clock	 "clocks"	 "clocking"	 "clocked"

young	 "youngs"	 ""	 ""

boys	 ""	 ""	 ""

sleep	 ""	 "sleeping"	 "slept"

late	 ""	 ""	 ""

hard	 ""	 ""	 ""

waken	 ""	 "wakening"	 "wakened"

inferior	 "inferiors"	 ""	 ""

eaten	 null	 null	 null

trousers	 "trousers"	 ""	 ""

dark	 ""	 ""	 ""

rolled	 ""	 ""	 ""

pillow	 "pillows"	 "pillowing"	 "pillowed"

putting	 ""	 ""	 ""

inside	 "insides"	 ""	 ""

slept	 ""	 ""	 ""

newspapers	 ""	 ""	 ""

covered	 ""	 ""	 ""

springs	 ""	 ""	 ""

short	 "shorts"	 "shorting"	 "shorted"

dreamed	 ""	 ""	 ""

golden	 ""	 ""	 ""

hurt	 "hurts"	 "hurting"	 "hurt"

high	 "highs"	 ""	 ""

capes	 ""	 ""	 ""

mountains	 ""	 ""	 ""

lived	 ""	 ""	 ""

dreams	 ""	 ""	 ""

heard	 null	 null	 null

surf	 ""	 "surfing"	 "surfed"

roar	 ""	 "roaring"	 "roared"

saw	 " sawed"	 ""	 ""

native	 "natives"	 ""	 ""

boats	 ""	 ""	 ""

riding	 ""	 ""	 ""

smelled	 ""	 ""	 ""

tar	 "tars"	 "tarring"	 "tarred"

oakum	 ""	 ""	 ""

deck	 "decks"	 "decking"	 "decked"

land	 "lands"	 "landing"	 "landed"

usually	 ""	 ""	 ""

woke	 null	 null	 null

tonight	 ""	 ""	 ""

dream	 " dreamt"	 ""	 ""

dreaming	 ""	 ""	 ""

peaks	 ""	 ""	 ""

rising	 "risings"	 ""	 ""

harbors	 ""	 ""	 ""

canary	 "canaries"	 ""	 ""

storms	 ""	 ""	 ""

nor	 ""	 ""	 ""

women	 ""	 ""	 ""

occurrences	 ""	 ""	 ""

fights	 ""	 ""	 ""

contests	 ""	 ""	 ""

strength	 "strengths"	 ""	 ""

places	 ""	 ""	 ""

beach	 "beaches"	 "beaching"	 "beached"

cats	 ""	 ""	 ""

dusk	 ""	 "dusking"	 "dusked"

simply	 ""	 ""	 ""

moon	 "moons"	 "mooning"	 "mooned"

unrolled	 ""	 ""	 ""

urinated	 ""	 ""	 ""

outside	 "outsides"	 ""	 ""

shivering	 ""	 ""	 ""

soon	 ""	 ""	 ""

rowing	 ""	 ""	 ""

unlocked	 ""	 ""	 ""

quietly	 ""	 ""	 ""

bare	 ""	 "baring"	 "bared"

feet	 null	 null	 null

cot	 "cots"	 ""	 ""

clearly	 ""	 ""	 ""

dying	 ""	 ""	 ""

hold	 "holden"	 ""	 ""

foot	 "feet"	 "footing"	 "footed"

turned	 ""	 ""	 ""

nodded	 ""	 ""	 ""

sitting	 "sittings"	 ""	 ""

pulled	 ""	 ""	 ""

sleepy	 ""	 ""	 ""

arms	 ""	 ""	 ""

sorry	 ""	 ""	 ""

barefoot	 ""	 ""	 ""

moving	 ""	 ""	 ""

carrying	 ""	 ""	 ""

masts	 ""	 ""	 ""

reached	 ""	 ""	 ""

rolls	 ""	 ""	 ""

line	 "lines"	 "lining"	 "lined"

basket	 "baskets"	 ""	 ""

coffee	 "coffees"	 ""	 ""

condensed	 ""	 ""	 ""

milk	 ""	 "milking"	 "milked"

served	 ""	 ""	 ""

waking	 ""	 ""	 ""

feel	 ""	 "feeling"	 "felt"

wants	 ""	 ""	 ""

anything	 ""	 ""	 ""

right	 "rights"	 "righting"	 "righted"

credit	 "credits"	 "crediting"	 "credited"

coral	 "corals"	 ""	 ""

rocks	 ""	 ""	 ""

stored	 ""	 ""	 ""

drank	 null	 null	 null

slowly	 ""	 ""	 ""

bored	 ""	 ""	 ""

lunch	 "lunches"	 "lunching"	 "lunched"

bottle	 "bottles"	 "bottling"	 "bottled"

trail	 "trails"	 "trailing"	 "trailed"

pebbled	 null	 null	 null

sand	 "sands"	 "sanding"	 "sanded"

lifted	 ""	 ""	 ""

slid	 null	 null	 null

her	 ""	 ""	 ""

luck	 ""	 "lucking"	 "lucked"

fitted	 ""	 ""	 ""

rope	 "ropes"	 "roping"	 "roped"

lashings	 ""	 ""	 ""

oars	 ""	 ""	 ""

onto	 ""	 ""	 ""

thole	 ""	 "tholing"	 "tholed"

pins	 ""	 ""	 ""

leaning	 "leanings"	 ""	 ""

thrust	 ""	 "thrusting"	 "thrust"

blades	 ""	 ""	 ""

began	 ""	 ""	 ""

dip	 ""	 "dipping"	 "dipped"

push	 ""	 "pushing"	 "pushed"

below	 ""	 ""	 ""

hills	 ""	 ""	 ""

someone	 ""	 ""	 ""

speak	 ""	 "speaking"	 "spoke"

silent	 "silents"	 ""	 ""

apart	 ""	 ""	 ""

mouth	 "mouths"	 "mouthing"	 "mouthed"

headed	 ""	 ""	 ""

part	 "parts"	 "parting"	 "parted"

ocean	 "oceans"	 ""	 ""

hoped	 ""	 ""	 ""

behind	 "behinds"	 ""	 ""

rowed	 ""	 ""	 ""

phosphorescence	 ""	 ""	 ""

weed	 "weeds"	 "weeding"	 "weeded"

sudden	 ""	 ""	 ""

seven	 "sevens"	 ""	 ""

hundred	 "hundreds"	 ""	 ""

fathoms	 ""	 ""	 ""

sorts	 ""	 ""	 ""

congregated	 ""	 ""	 ""

swirl	 "swirls"	 "swirling"	 "swirled"

steep	 ""	 "steeping"	 "steeped"

concentrations	 ""	 ""	 ""

shrimp	 "shrimps"	 ""	 ""

bait	 "baits"	 "baiting"	 "baited"

schools	 ""	 ""	 ""

squid	 "squid"	 ""	 ""

deepest	 ""	 ""	 ""

holes	 ""	 ""	 ""

rose	 "roses"	 ""	 ""

close	 ""	 "closing"	 "closed"

surface	 "surfaces"	 "surfacing"	 "surfaced"

wandering	 ""	 ""	 ""

fed	 "feds"	 ""	 ""

trembling	 ""	 ""	 ""

sound	 "sounds"	 "sounding"	 "sounded"

flying	 ""	 ""	 ""

hissing	 ""	 ""	 ""

stiff	 ""	 ""	 ""

wings	 ""	 ""	 ""

soared	 ""	 ""	 ""

darkness	 ""	 ""	 ""

fond	 ""	 ""	 ""

principal	 "principals"	 ""	 ""

friends	 ""	 ""	 ""

birds	 ""	 ""	 ""

especially	 ""	 ""	 ""

small	 ""	 ""	 ""

delicate	 ""	 ""	 ""

terns	 ""	 ""	 ""

looking	 ""	 ""	 ""

finding	 "findings"	 ""	 ""

harder	 ""	 ""	 ""

robber	 "robbers"	 ""	 ""

fine	 "fines"	 "fining"	 "fined"

swallows	 ""	 ""	 ""

cruel	 ""	 ""	 ""

she	 ""	 ""	 ""

beautiful	 ""	 ""	 ""

comes	 ""	 ""	 ""

suddenly	 ""	 ""	 ""

fly	 "flies"	 "flying"	 "flew"

dipping	 ""	 ""	 ""

hunting	 ""	 ""	 ""

voices	 ""	 ""	 ""

delicately	 ""	 ""	 ""

la	 ""	 ""	 ""

mar	 "mars"	 "marring"	 "marred"

call	 null	 "calling"	 "called"

love	 "loves"	 "loving"	 "loved"

woman	 "women"	 ""	 ""

younger	 ""	 ""	 ""

buoys	 ""	 ""	 ""

floats	 ""	 ""	 ""

motorboats	 ""	 ""	 ""

el	 ""	 ""	 ""

masculine	 ""	 ""	 ""

contestant	 "contestants"	 ""	 ""

enemy	 "enemies"	 ""	 ""

feminine	 "feminines"	 ""	 ""

withheld	 ""	 ""	 ""

favors	 ""	 ""	 ""

wild	 "wilds"	 ""	 ""

wicked	 ""	 ""	 ""

affects	 ""	 ""	 ""

steadily	 ""	 ""	 ""

effort	 "efforts"	 ""	 ""

since	 ""	 ""	 ""

kept	 ""	 ""	 ""

within	 ""	 ""	 ""

speed	 " speeded"	 ""	 ""

flat	 "flats"	 "flatting"	 "flatted"

occasional	 ""	 ""	 ""

swirls	 ""	 ""	 ""

letting	 ""	 ""	 ""

third	 "thirds"	 ""	 ""

further	 ""	 "furthering"	 "furthered"

hour	 "hours"	 ""	 ""

worked	 ""	 ""	 ""

wells	 ""	 ""	 ""

bonita	 ""	 ""	 ""

albacore	 "albacore"	 ""	 ""

tunny	 "tunnies"	 ""	 ""

drifting	 ""	 ""	 ""

second	 "seconds"	 "seconding"	 "seconded"

seventy-five	 ""	 ""	 ""

fourth	 "fourths"	 ""	 ""

blue	 "blues"	 ""	 ""

Twenty-five	 ""	 ""	 ""

hung	 null	 null	 null

shank	 "shanks"	 ""	 ""

tied	 ""	 ""	 ""

sewed	 ""	 ""	 ""

solid	 "solids"	 ""	 ""

projecting	 ""	 ""	 ""

curve	 "curves"	 "curving"	 "curved"

point	 "points"	 "pointing"	 "pointed"

sardine	 "sardines"	 "sardining"	 "sardined"

hooked	 ""	 ""	 ""

steel	 "steels"	 "steeling"	 "steeled"

smelling	 ""	 ""	 ""

pages	 ""	 ""	 ""

provide	 ""	 "providing"	 "provided"

example	 "examples"	 ""	 ""

description	 "descriptions"	 ""	 ""

view	 "views"	 "viewing"	 "viewed"

given	 ""	 ""	 ""

tunas	 ""	 ""	 ""

albacores	 ""	 ""	 ""

plummets	 ""	 ""	 ""

runner	 "runners"	 ""	 ""

jack	 "jacks"	 "jacking"	 "jacked"

condition	 "conditions"	 "conditioning"	 "conditioned"

scent	 "scents"	 "scenting"	 "scented"

attractiveness	 ""	 ""	 ""

thick	 ""	 ""	 ""

pencil	 "pencils"	 "pencilling"	 "pencilled"

looped	 ""	 ""	 ""

stick	 "sticks"	 "sticking"	 "stuck"

pull	 ""	 "pulling"	 "pulled"

touch	 "touches"	 "touching"	 "touched"

coils	 ""	 ""	 ""

fast	 ""	 "fasting"	 "fasted"

spare	 ""	 "sparing"	 "spared"

necessary	 "necessaries"	 ""	 ""

watched	 ""	 ""	 ""

sticks	 ""	 ""	 ""

straight	 "straights"	 ""	 ""

proper	 "propers"	 ""	 ""

rise	 ""	 "rising"	 "rose"

thinly	 ""	 ""	 ""

low	 "lows"	 "lowing"	 "lowed"

toward	 ""	 ""	 ""

shore	 "shores"	 "shoring"	 "shored"

brighter	 ""	 ""	 ""

glare	 ""	 "glaring"	 "glared"

clear	 null	 "clearing"	 "cleared"

sharply	 ""	 ""	 ""

straighter	 ""	 ""	 ""

level	 "levels"	 "levelling"	 "levelled"

waiting	 ""	 ""	 ""

exactly	 ""	 ""	 ""

swam	 null	 null	 null

drift	 "drifts"	 "drifting"	 "drifted"

sixty	 "sixties"	 ""	 ""

precision	 ""	 ""	 ""

knows	 ""	 ""	 ""

rather	 ""	 ""	 ""

exact	 ""	 " most exact"	 "exacter"

favorite	 "favorites"	 ""	 ""

theme	 "themes"	 ""	 ""

Hemingway	 null	 null	 null

hours	 ""	 ""	 ""

higher	 ""	 ""	 ""

look	 "looks"	 "looking"	 "looked"

sight	 "sights"	 "sighting"	 "sighted"

showed	 ""	 ""	 ""

inshore	 ""	 ""	 ""

yet	 ""	 ""	 ""

blackness	 ""	 ""	 ""

force	 "forces"	 "forcing"	 "forced"

painful	 ""	 ""	 ""

man-of-war	 "men-of-war"	 ""	 ""

circling	 ""	 ""	 ""

sky	 "skies"	 "skying"	 "skied"

ahead	 ""	 ""	 ""

quick	 ""	 ""	 ""

drop	 ""	 "dropping"	 "dropped"

slanting	 ""	 ""	 ""

backswept	 ""	 ""	 ""

circled	 ""	 ""	 ""

wingspread	 ""	 ""	 ""

also	 ""	 ""	 ""

frigate	 "frigates"	 ""	 ""

roams	 ""	 ""	 ""

tropical	 ""	 ""	 ""

seas	 ""	 ""	 ""

snatching	 ""	 ""	 ""

robbing	 ""	 ""	 ""

smaller	 ""	 ""	 ""

he's	 ""	 ""	 ""

aloud	 ""	 ""	 ""

hurry	 ""	 "hurrying"	 "hurried"

crowded	 ""	 ""	 ""

little	 ""	 ""	 ""

correctly	 ""	 ""	 ""

faster	 ""	 ""	 ""

trying	 ""	 ""	 ""

use	 "uses"	 "using"	 "used"

air	 "airs"	 "airing"	 "aired"

motionless	 ""	 ""	 ""

dove	 "doves"	 ""	 ""

spurt	 "spurts"	 "spurting"	 "spurted"

desperately	 ""	 ""	 ""

shipped	 ""	 ""	 ""

wire	 "wires"	 "wiring"	 "wired"

leader	 "leaders"	 ""	 ""

medium-sized	 ""	 ""	 ""

baited	 null	 null	 null

ring	 "rung"	 ""	 ""

bolt	 "bolts"	 "bolting"	 "bolted"

shade	 "shades"	 "shading"	 "shaded"

watching	 ""	 ""	 ""

dipped	 ""	 ""	 ""

dive	 ""	 "diving"	 "dived"

swinging	 ""	 ""	 ""

wildly	 ""	 ""	 ""

ineffectually	 ""	 ""	 ""

followed	 ""	 ""	 ""

slight	 "slights"	 "slighting"	 "slighted"

bulge	 "bulges"	 "bulging"	 "bulged"

raised	 ""	 ""	 ""

escaping	 ""	 ""	 ""

cutting	 "cuttings"	 ""	 ""

flight	 "flights"	 "flighting"	 "flighted"

driving	 ""	 ""	 ""

school	 "schools"	 "schooling"	 "schooled"

wide	 ""	 ""	 ""

chance	 "chances"	 "chancing"	 "chanced"

burst	 ""	 "bursting"	 "burst"

ineffectual	 ""	 ""	 ""

movements	 ""	 ""	 ""

gotten	 null	 null	 null

pick	 "picks"	 "picking"	 "picked"

stray	 ""	 "straying"	 "strayed"

somewhere	 ""	 ""	 ""

clouds	 ""	 ""	 ""

gray	 ""	 "graying"	 "grayed"

purple	 "purples"	 "purpling"	 "purpled"

red	 "reds"	 ""	 ""

sifting	 ""	 ""	 ""

plankton	 ""	 ""	 ""

meant	 ""	 ""	 ""

shape	 "shapes"	 "shaping"	 "shaped"

sargasso	 "sargassos"	 ""	 ""

formalized	 ""	 ""	 ""

iridescent	 ""	 ""	 ""

gelatinous	 ""	 ""	 ""

bladder	 "bladders"	 ""	 ""

Portuguese	 "Portugueses"	 ""	 ""

floating	 null	 null	 null

righted	 ""	 ""	 ""

itself	 ""	 ""	 ""

floated	 ""	 ""	 ""

cheerfully	 ""	 ""	 ""

bubble	 "bubbles"	 "bubbling"	 "bubbled"

deadly	 ""	 ""	 ""

filaments	 ""	 ""	 ""

trailing	 ""	 ""	 ""

yard	 "yards"	 ""	 ""

type	 "types"	 "typing"	 "typed"

jellyfish	 "jellyfish"	 ""	 ""

Agua	 ""	 ""	 ""

mala	 ""	 ""	 ""

whore	 "whores"	 "whoring"	 "whored"

swung	 null	 null	 null

lightly	 ""	 ""	 ""

tiny	 ""	 ""	 ""

colored	 ""	 ""	 ""

immune	 ""	 ""	 ""

poison	 "poisons"	 "poisoning"	 "poisoned"

catch	 ""	 "catching"	 "caught"

rest	 "rests"	 "resting"	 "rested"

slimy	 ""	 ""	 ""

welts	 ""	 ""	 ""

sores	 ""	 ""	 ""

ivy	 "ivies"	 ""	 ""

OAK	 ""	 ""	 ""

quickly	 ""	 ""	 ""

struck	 ""	 ""	 ""

literally	 ""	 ""	 ""

bubbles	 ""	 ""	 ""

falsest	 null	 null	 null

thing	 "things"	 ""	 ""

turtles	 ""	 ""	 ""

approached	 ""	 ""	 ""

front	 "fronts"	 "fronting"	 "fronted"

shut	 ""	 "shutting"	 "shut"

completely	 ""	 ""	 ""

ate	 ""	 ""	 ""

walk	 "walks"	 "walking"	 "walked"

storm	 "storms"	 "storming"	 "stormed"

hear	 ""	 "hearing"	 "heard"

pop	 "pops"	 "popping"	 "popped"

stepped	 ""	 ""	 ""

horny	 ""	 ""	 ""

soles	 ""	 ""	 ""

protected	 ""	 ""	 ""

upper	 "uppers"	 ""	 ""

shell	 "shells"	 "shelling"	 "shelled"

elegance	 "elegances"	 ""	 ""

value	 "values"	 "valuing"	 "valued"

friendly	 "friendlies"	 ""	 ""

contempt	 "contempts"	 ""	 ""

huge	 ""	 ""	 ""

stupid	 ""	 ""	 ""

loggerheads	 ""	 ""	 ""

men-of-war	 ""	 ""	 ""

mysticism	 ""	 ""	 ""

turtle	 "turtles"	 "turtling"	 "turtled"

trunk	 "trunks"	 ""	 ""

backs	 ""	 ""	 ""

weighed	 ""	 ""	 ""

ton	 "tons"	 ""	 ""

heartless	 ""	 ""	 ""

beat	 ""	 "beating"	 "beat"

theirs	 ""	 ""	 ""

eggs	 ""	 ""	 ""

October	 "Octobers"	 ""	 ""

cup	 "cups"	 "cupping"	 "cupped"

liver	 "livers"	 ""	 ""

oil	 ""	 "oiling"	 "oiled"

drum	 ""	 "drumming"	 "drummed"

hated	 ""	 ""	 ""

taste	 "tastes"	 "tasting"	 "tasted"

worse	 ""	 ""	 ""

colds	 ""	 ""	 ""

found	 ""	 "founding"	 "founded"

broke	 ""	 ""	 ""

scattering	 "scatterings"	 ""	 ""

tuna	 "tuna"	 ""	 ""

shone	 null	 null	 null

silver	 "silvers"	 ""	 ""

jumping	 ""	 ""	 ""

directions	 ""	 ""	 ""

churning	 ""	 ""	 ""

leaping	 ""	 ""	 ""

jumps	 ""	 ""	 ""

travel	 "travels"	 "travelling"	 "travelled"

dropping	 ""	 ""	 ""

forced	 ""	 ""	 ""

panic	 "panics"	 "panicking"	 "panicked"

taut	 ""	 ""	 ""

loop	 "loops"	 "looping"	 "looped"

felt	 ""	 ""	 ""

firm	 "firms"	 "firming"	 "firmed"

commenced	 ""	 ""	 ""

haul	 ""	 "hauling"	 "hauled"

increased	 ""	 ""	 ""

gold	 "golds"	 ""	 ""

compact	 null	 "compacting"	 "compacted"

bullet	 "bullets"	 ""	 ""

shaped	 ""	 ""	 ""

unintelligent	 ""	 ""	 ""

staring	 ""	 ""	 ""

thumped	 ""	 ""	 ""

planking	 ""	 ""	 ""

strokes	 ""	 ""	 ""

neat	 ""	 ""	 ""

fast-moving	 ""	 ""	 ""

hit	 "hits"	 "hitting"	 "hit"

Kindness	 ""	 ""	 ""

kicked	 ""	 ""	 ""

body	 "bodies"	 "bodying"	 "bodied"

shuddering	 ""	 ""	 ""

he'll	 ""	 ""	 ""

weigh	 ""	 "weighing"	 "weighed"

ten	 "tens"	 ""	 ""

sung	 null	 null	 null

steering	 ""	 ""	 ""

watch	 "watches"	 "watching"	 "watched"

smacks	 ""	 ""	 ""

probably	 ""	 ""	 ""

talked	 ""	 ""	 ""

stormbound	 ""	 ""	 ""

considered	 ""	 ""	 ""

virtue	 "virtues"	 ""	 ""

unnecessarily	 ""	 ""	 ""

respected	 ""	 ""	 ""

thoughts	 ""	 ""	 ""

annoy	 ""	 "annoying"	 "annoyed"

talking	 ""	 ""	 ""

loud	 ""	 ""	 ""

crazy	 "crazies"	 ""	 ""

rich	 "riches"	 ""	 ""

radios	 ""	 ""	 ""

straggler	 "stragglers"	 ""	 ""

feeding	 ""	 ""	 ""

shows	 ""	 ""	 ""

travels	 ""	 ""	 ""

northeast	 ""	 ""	 ""

sign	 "signs"	 "signing"	 "signed"

tops	 ""	 ""	 ""

snow-capped	 ""	 ""	 ""

snow	 "snows"	 "snowing"	 "snowed"

above	 ""	 ""	 ""

prisms	 ""	 ""	 ""

myriad	 "myriads"	 ""	 ""

flecks	 ""	 ""	 ""

mile	 "miles"	 ""	 ""

species	 "species"	 ""	 ""

distinguished	 ""	 ""	 ""

among	 ""	 ""	 ""

sell	 ""	 "selling"	 "sold"

trade	 "trades"	 "trading"	 "traded"

hot	 ""	 "hotting"	 "hotted"

sweat	 "sweats"	 "sweating"	 "sweated"

trickle	 "trickles"	 "trickling"	 "trickled"

bight	 ""	 ""	 ""

toe	 "toes"	 "toeing"	 "toed"

bumping	 ""	 ""	 ""

softly	 ""	 ""	 ""

thumb	 "thumbs"	 "thumbing"	 "thumbed"

forefinger	 "forefingers"	 ""	 ""

strain	 "strains"	 "straining"	 "strained"

tentative	 "tentatives"	 ""	 ""

projected	 ""	 ""	 ""

unleashed	 ""	 ""	 ""

run	 ""	 "running"	 "ran"

fingers	 ""	 ""	 ""

tension	 "tensions"	 ""	 ""

six	 "sixes"	 ""	 ""

turn	 ""	 "turning"	 "turned"

pulling	 ""	 ""	 ""

break	 ""	 "breaking"	 "broke"

aren't	 ""	 ""	 ""

lovely	 ""	 ""	 ""

shy	 "shies"	 "shying"	 "shied"

finger	 "fingers"	 "fingering"	 "fingered"

swum	 null	 null	 null

god	 "gods"	 ""	 ""

Christ	 "Christs"	 ""	 ""

cant	 ""	 ""	 ""

making	 "makings"	 ""	 ""

remembers	 ""	 ""	 ""

gentle	 ""	 "gentling"	 "gentled"

unbelievably	 ""	 ""	 ""

slip	 ""	 "slipping"	 "slipped"

unrolling	 ""	 ""	 ""

reserve	 "reserves"	 "reserving"	 "reserved"

slipping	 ""	 ""	 ""

pressure	 "pressures"	 "pressuring"	 "pressured"

imperceptible	 ""	 ""	 ""

sideways	 ""	 ""	 ""

swallow	 "swallows"	 "swallowing"	 "swallowed"

crosswise	 ""	 ""	 ""

stop	 ""	 "stopping"	 "stopped"

tightened	 ""	 ""	 ""

free	 ""	 "freeing"	 "freed"

next	 ""	 ""	 ""

coil	 "coils"	 "coiling"	 "coiled"

goes	 ""	 ""	 ""

gained	 ""	 ""	 ""

alternately	 ""	 ""	 ""

cord	 "cords"	 ""	 ""

pivoted	 ""	 ""	 ""

happened	 ""	 ""	 ""

moved	 ""	 ""	 ""

raise	 ""	 "raising"	 "raised"

inch	 "inches"	 "inching"	 "inched"

beads	 ""	 ""	 ""

slow	 ""	 "slowing"	 "slowed"

bracing	 ""	 ""	 ""

move	 "moves"	 "moving"	 "moved"

northwest	 ""	 ""	 ""

travelled	 ""	 ""	 ""

calm	 "calms"	 "calming"	 "calmed"

wish	 "wishes"	 "wishing"	 "wished"

being	 "beings"	 ""	 ""

towed	 ""	 ""	 ""

towing	 ""	 ""	 ""

bitt	 ""	 "bitting"	 "bitted"

travelling	 ""	 ""	 ""

post	 "posts"	 "posting"	 "posted"

fastened	 ""	 ""	 ""

cable	 "cables"	 "cabling"	 "cabled"

decides	 ""	 ""	 ""

sounds	 ""	 ""	 ""

dies	 ""	 ""	 ""

plenty	 "plenties"	 ""	 ""

slant	 ""	 "slanting"	 "slanted"

kill	 ""	 "killing"	 "killed"

forever	 ""	 ""	 ""

swimming	 ""	 ""	 ""

braced	 ""	 ""	 ""

solidly	 ""	 ""	 ""

noon	 ""	 ""	 ""

pushed	 ""	 ""	 ""

straw	 "straws"	 ""	 ""

hat	 "hats"	 "hatting"	 "hatted"

forehead	 "foreheads"	 ""	 ""

thirsty	 ""	 ""	 ""

jerk	 ""	 "jerking"	 "jerked"

rested	 ""	 ""	 ""

tried	 ""	 ""	 ""

step	 "steps"	 "stepping"	 "stepped"

socket	 "sockets"	 "socketing"	 "socketed"

frame	 "frames"	 "framing"	 "framed"

platform	 "platforms"	 "platforming"	 "platformed"

supporting	 ""	 ""	 ""

lower	 ""	 "lowering"	 "lowered"

notice	 "notices"	 "noticing"	 "noticed"

passing	 "passings"	 ""	 ""

suggested	 ""	 ""	 ""

visible	 ""	 ""	 ""

glow	 ""	 "glowing"	 "glowed"

doesn't	 ""	 ""	 ""

sunrise	 "sunrises"	 ""	 ""

cramps	 ""	 ""	 ""

tight	 ""	 ""	 ""

changed	 ""	 ""	 ""

direction	 "directions"	 ""	 ""

stars	 ""	 ""	 ""

dried	 ""	 ""	 ""

legs	 ""	 ""	 ""

during	 ""	 ""	 ""

sack	 "sacks"	 "sacking"	 "sacked"

dry	 "dries"	 "drying"	 "drier"

cautiously	 ""	 ""	 ""

comfortable	 ""	 ""	 ""

position	 "positions"	 "positioning"	 "positioned"

actually	 ""	 ""	 ""

somewhat	 ""	 ""	 ""

less	 ""	 ""	 ""

intolerable	 ""	 ""	 ""

keeps	 ""	 ""	 ""

stood	 null	 null	 null

checked	 ""	 ""	 ""

phosphorescent	 ""	 ""	 ""

streak	 "streaks"	 "streaking"	 "streaked"

eastward	 ""	 ""	 ""

grand	 "grands"	 ""	 ""

wonderful	 ""	 ""	 ""

radio	 "radios"	 "radioing"	 "radioed"

doing	 ""	 ""	 ""

unavoidable	 ""	 ""	 ""

spoils	 ""	 ""	 ""

matter	 "matters"	 "mattering"	 "mattered"

porpoise	 "porpoises"	 ""	 ""

rolling	 ""	 ""	 ""

blowing	 ""	 ""	 ""

male	 "males"	 ""	 ""

sighing	 ""	 ""	 ""

blow	 "blows"	 "blowing"	 "blew"

female	 "females"	 ""	 ""

jokes	 ""	 ""	 ""

brothers	 ""	 ""	 ""

